video_id,original,cleaned,sentiment,entities
A0dYR_yCPmU,Next time vijay only confrom CM TN vijayonly next cm,next time vijay only confrom cm tn vijayonly next cm,Neutral,TVK
A0dYR_yCPmU,இது மட்டும் உண்மையா நடந்தா எங்க ஊருல அன்னைக்கு தீபாவளி தான்,இது மட்டும் உண்மையா நடந்தா எங்க ஊருல அன்னைக்கு தீபாவளி தான்,Neutral,
A0dYR_yCPmU,ஆசை வரலாம் பேராசை கூடாது,ஆசை வரலாம் பேராசை கூடாது,Neutral,
A0dYR_yCPmU,That is vijay Thalapathy,that is vijay thalapathy,Positive,TVK
A0dYR_yCPmU,இப்படியே கற்பனையில் இருங்கடா,இப்படியே கற்பனையில் இருங்கடா,Negative,
A0dYR_yCPmU,Ohohoh TVK ❤❤❤❤🎉🎉🎉🎉😊😊,ohohoh tvk,Neutral,TVK
A0dYR_yCPmU,Vijay ki anguthi,vijay ki anguthi,Negative,TVK
A0dYR_yCPmU,Love u thalabathy ❤❤❤❤❤,love u thalabathy,Positive,
A0dYR_yCPmU,Tvk is a great ful❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,tvk is a great ful,Positive,TVK
A0dYR_yCPmU,IT S RONG,it s rong,Negative,
A0dYR_yCPmU,இப்படியே கற்பனை உலகத்தில் இருங்கடா,இப்படியே கற்பனை உலகத்தில் இருங்கடா,Negative,
A0dYR_yCPmU,TVK Thalapathy Vijay ❤️😘❤️😘❤️❤️,tvk thalapathy vijay,Positive,TVK
A0dYR_yCPmU,DMK தான் அரசியல் தொடரும்,dmk தான் அரசியல் தொடரும்,Neutral,DMK
A0dYR_yCPmU,NTK 18 ah? Seat ah? Ithulaye fake nu theriyuthu,ntk 18 ah seat ah ithulaye fake nu theriyuthu,Negative,
A0dYR_yCPmU,Tvk super ❤️❤️❤️,tvk super,Positive,TVK
A0dYR_yCPmU,😅😅😅😅 DMK daa 😡😡😡,dmk daa,Neutral,DMK
A0dYR_yCPmU,Tv k❤❤❤❤❤❤,tv k,Neutral,
A0dYR_yCPmU,విన్నర్ టీవీకి పార్టీ,వననర టవక పరట,Negative,
A0dYR_yCPmU,அண்ணா சேவிக்கணும்,அண்ணா சேவிக்கணும்,Neutral,
A0dYR_yCPmU,தீம்கா கம்மியா வாங்க்துனா கூட நம்பலாம் ஆனா டம்ளர் தான் 19 வாங்குதுனா நம்ப முடியல,தீம்கா கம்மியா வாங்க்துனா கூட நம்பலாம் ஆனா டம்ளர் தான் 19 வாங்குதுனா நம்ப முடியல,Negative,
A0dYR_yCPmU,"Bro what's wrong with you 
It's not tvk flag this is soo wrong bro 😮😮","bro whats wrong with you 
its not tvk flag this is soo wrong bro",Negative,TVK
A0dYR_yCPmU,Dri inuma adangala kanavula eh vazhringa da,dri inuma adangala kanavula eh vazhringa da,Negative,
A0dYR_yCPmU,Onnum nadakkathu DMK 135.ADMK.56.CONG.17.TVK.4.CPM.3 .EZHUPARI 25,onnum nadakkathu dmk 135admk56cong17tvk4cpm3 ezhupari 25,Neutral,"DMK,TVK"
A0dYR_yCPmU,"Tvk vija and sivanya Durga Kavya,🌹🌹🌹🌹🌹🌹🌹💐👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨😇💕😇😇😇🥳😭🤣😂😁",tvk vija and sivanya durga kavya,Neutral,TVK
A0dYR_yCPmU,Waiting to see this❤❤❤❤❤,waiting to see this,Positive,
A0dYR_yCPmU,இன்னும் கொட்டம் அடங்கவில்லை 10 தொகுதி கூட தீய சக்தி வர முடியாது,இன்னும் கொட்டம் அடங்கவில்லை 10 தொகுதி கூட தீய சக்தி வர முடியாது,Negative,
A0dYR_yCPmU,Vijay mama jaichidanum my  ❤❤ ambition❤,vijay mama jaichidanum my   ambition,Neutral,TVK
A0dYR_yCPmU,Vijay Anna super voice ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,vijay anna super voice,Positive,TVK
A0dYR_yCPmU,"Wait for

Results 

This add is 😂😂😂😂😂😂😂🎉🎉🎉🎉🎉","wait for

results 

this add is",Neutral,
A0dYR_yCPmU,TVK Thalapathy Thalapathy TVK Thalapathy Thalapathy Vijay Anna ❤❤❤,tvk thalapathy thalapathy tvk thalapathy thalapathy vijay anna,Positive,TVK
A0dYR_yCPmU,110 TVK 😢😢😢😢 $ 2500,110 tvk   2500,Neutral,TVK
A0dYR_yCPmU,"DMK 70
TVK 110
AlADMK 42
NTK19😊😊","dmk 70
tvk 110
aladmk 42
ntk19",Neutral,"DMK,TVK"
A0dYR_yCPmU,விஜய் நீதான் வின்,விஜய் நீதான் வின்,Neutral,TVK
A0dYR_yCPmU,Nanum ippadithan ethirpathen,nanum ippadithan ethirpathen,Negative,
A0dYR_yCPmU,இது உண்மை ஆக வேண்டும்,இது உண்மை ஆக வேண்டும்,Neutral,
A0dYR_yCPmU,Funniest part is the result shown for Simon..😂😂,funniest part is the result shown for simon,Positive,
A0dYR_yCPmU,"Nadakkanum  
Thalapathi  Varanum","nadakkanum  
thalapathi  varanum",Negative,
A0dYR_yCPmU,Vijay Anna ❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉,vijay anna,Positive,TVK
A0dYR_yCPmU,Tvk haveto  win🎉🎉🎉🎉🎉❤❤❤❤,tvk haveto  win,Neutral,TVK
A0dYR_yCPmU,விஜய் சார் ஜெயிச்சிட்டா தமிழ் நாட்டுக்கே தீபாவளி தான் இது நடக்கனும் இறைவா கருணை புரி ❤,விஜய் சார் ஜெயிச்சிட்டா தமிழ் நாட்டுக்கே தீபாவளி தான் இது நடக்கனும் இறைவா கருணை புரி,Neutral,TVK
A0dYR_yCPmU,అవునా తొందరపడకు నాలుగో తేదీ దగ్గరలోనే ఉందిగా,అవన తదరపడక నలగ తద దగగరలన ఉదగ,Negative,
A0dYR_yCPmU,மே 4 தெரியும்,மே 4 தெரியும்,Neutral,
A0dYR_yCPmU,Tvk Tvk 💯💯💯💯💯,tvk tvk,Neutral,TVK
A0dYR_yCPmU,"Entha thamil nadtu makala nambi yathaum nambikaiya sola mudila ,enum yevallo kesta patalum theruntha matanga .resalt yanavarum nu bayama iruku.kandipa vijay anna jaikanum",entha thamil nadtu makala nambi yathaum nambikaiya sola mudila enum yevallo kesta patalum theruntha matanga resalt yanavarum nu bayama irukukandipa vijay anna jaikanum,Negative,TVK
A0dYR_yCPmU,மூக்கு பொடப்பா இருந்தாதான் இப்படி யோசிக்க தோணும்,மூக்கு பொடப்பா இருந்தாதான் இப்படி யோசிக்க தோணும்,Negative,
A0dYR_yCPmU,Seeman 20😂,seeman 20,Neutral,
A0dYR_yCPmU,Iam. DMK Bro❤❤❤❤❤❤😂,iam dmk bro,Neutral,DMK
A0dYR_yCPmU,4 ந்தேதி பார்க்கலாம் 😂😂,4 ந்தேதி பார்க்கலாம்,Neutral,
A0dYR_yCPmU,நடக்கிறது நடக்கட்டும் அது நல்லதாகவும் நடக்கட்டும்,நடக்கிறது நடக்கட்டும் அது நல்லதாகவும் நடக்கட்டும்,Positive,
A0dYR_yCPmU,CM sir thalapthy Vijay your love from lnadln oil thalapthy Vijay like and your winner 😮😮😮😅😅😅 Vijay 😅😅,cm sir thalapthy vijay your love from lnadln oil thalapthy vijay like and your winner  vijay,Positive,TVK
A0dYR_yCPmU,அண்ணா Tvk ❤❤❤வாழ்த்துக்கள்,அண்ணா tvk வாழ்த்துக்கள்,Positive,TVK
A0dYR_yCPmU,Vijay ❤❤❤C M,vijay c m,Neutral,TVK
A0dYR_yCPmU,Vijay dalapati C.M❤❤❤❤,vijay dalapati cm,Neutral,TVK
A0dYR_yCPmU,Tvk anna ❤💛❤🇪🇦,tvk anna,Neutral,TVK
A0dYR_yCPmU,TVK I Love you Anna ❤️❤️,tvk i love you anna,Positive,TVK
A0dYR_yCPmU,"சட்ட சபை ல 10 பேர் இவங்க செய்யும் தப்ப தட்டி கேட்டா போதும், அடுத்த election la , aim a achive panniralam but no join other party's",சட்ட சபை ல 10 பேர் இவங்க செய்யும் தப்ப தட்டி கேட்டா போதும் அடுத்த election la  aim a achive panniralam but no join other partys,Negative,
A0dYR_yCPmU,"Tvk❤❤❤❤❤❤❤ 50,12,73M",tvk 501273m,Neutral,TVK
A0dYR_yCPmU,Ethu nadantha thamizhan veezhvan BJP   Tamil Nadu kaipatrum,ethu nadantha thamizhan veezhvan bjp   tamil nadu kaipatrum,Negative,BJP
A0dYR_yCPmU,வாய்ப்பு இல்லை,வாய்ப்பு இல்லை,Neutral,
A0dYR_yCPmU,எல்லாம் சரி சீமான் 1 சீட்டு கூட ஜெயிக்க வாய்ப்பு இல்லை அப்பறம் எப்படி 19 அந்த 19 சீட்டும் TVK கணக்குல எழுதுங்க,எல்லாம் சரி சீமான் 1 சீட்டு கூட ஜெயிக்க வாய்ப்பு இல்லை அப்பறம் எப்படி 19 அந்த 19 சீட்டும் tvk கணக்குல எழுதுங்க,Neutral,TVK
A0dYR_yCPmU,Bro TVK flag is wrong❤️,bro tvk flag is wrong,Negative,TVK
A0dYR_yCPmU,TVK. CM❤❤,tvk cm,Neutral,TVK
A0dYR_yCPmU,Vijay Vijay Vijay Vijay Vijay thalapathy❤❤❤❤❤❤,vijay vijay vijay vijay vijay thalapathy,Neutral,TVK
A0dYR_yCPmU,DMK 💯 WIN,dmk  win,Neutral,DMK
A0dYR_yCPmU,Tvk  Vijay Anna ❤❤❤,tvk  vijay anna,Neutral,TVK
A0dYR_yCPmU,Admk only CM in 2026🎉🎉🎉🎉🎉🖤🤍❤️,admk only cm in 2026,Neutral,DMK
A0dYR_yCPmU,Love  TVK🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦,love  tvk,Positive,TVK
A0dYR_yCPmU,Tvk tvk tvk tvk tvk 🇪🇸🔥🔥🔥🔥🔥🇪🇸🔥🇪🇸🔥🇪🇸🔥🇪🇸🔥,tvk tvk tvk tvk tvk,Neutral,TVK
A0dYR_yCPmU,இது மட்டும் நடந்துடுச்சு எங்க வீட்ல அன்னைக்கு தீபாவளி தான் பட்டாசு வெடிச்சு ஸ்வீட் கொடுத்து பிரியாணி செஞ்சு செம்ம என்ஜாய் பண்ணுவோம்,இது மட்டும் நடந்துடுச்சு எங்க வீட்ல அன்னைக்கு தீபாவளி தான் பட்டாசு வெடிச்சு ஸ்வீட் கொடுத்து பிரியாணி செஞ்சு செம்ம என்ஜாய் பண்ணுவோம்,Neutral,
A0dYR_yCPmU,Tvk 🌹❤️ cm Vijay god pls,tvk  cm vijay god pls,Negative,TVK
A0dYR_yCPmU,Serupala adi erumaya,serupala adi erumaya,Neutral,
A0dYR_yCPmU,"தமிழ் நாட்ல இருக்கும் ஒவொவொரு கட்சிக்கும் ஒரு CM னா எப்படி இருக்கும்,, அப்போ விஜய் நொன்னா CM ஆவாரு 😜😜😜",தமிழ் நாட்ல இருக்கும் ஒவொவொரு கட்சிக்கும் ஒரு cm னா எப்படி இருக்கும் அப்போ விஜய் நொன்னா cm ஆவாரு,Neutral,TVK
A0dYR_yCPmU,Eager to hear election results,eager to hear election results,Neutral,
A0dYR_yCPmU,TVK DAA❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😢😢😮😅😅😮😮😅😅😅😅😅😅😅😅😊😊😊😊😊😊😊😊❤,tvk daa,Neutral,TVK
A0dYR_yCPmU,🎉 ntk seeman 🦁🔥🔥🔥🔥🔥🦁,ntk seeman,Negative,
A0dYR_yCPmU,Dai tamil medeaya  vija kita avalavu kasu vangneagha   vijallam voru allu thu naya,dai tamil medeaya  vija kita avalavu kasu vangneagha   vijallam voru allu thu naya,Negative,
A0dYR_yCPmU,TVK FLAG IS SO WRONG 😢😢😢😢😢,tvk flag is so wrong,Negative,TVK
A0dYR_yCPmU,Vijay anna❤❤❤❤❤❤,vijay anna,Positive,TVK
A0dYR_yCPmU,யப்பா இது நடந்தால்..... சொல்ல வார்த்தையே இல்லை அவ்வளவு சந்தோசமா இருக்கும்.,யப்பா இது நடந்தால் சொல்ல வார்த்தையே இல்லை அவ்வளவு சந்தோசமா இருக்கும்,Negative,
A0dYR_yCPmU,T v k,t v k,Neutral,
A0dYR_yCPmU,Next cm enga vijay anna tha ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ love you vijay anna ❤❤❤❤❤,next cm enga vijay anna tha  love you vijay anna,Positive,TVK
A0dYR_yCPmU,😭🙏vote for tvk pls frends🙏❤💛❤💛,vote for tvk pls frends,Neutral,TVK
A0dYR_yCPmU,Vijay Aunan CM Tamil super,vijay aunan cm tamil super,Positive,TVK
A0dYR_yCPmU,TVK flag is rong😢😮😮😢😢,tvk flag is rong,Negative,TVK
A0dYR_yCPmU,In your dream,in your dream,Neutral,
A0dYR_yCPmU,This election TvK🎉🎉🎉🎉❤❤❤❤️‍🩹❤️‍🩹❤️‍🩹😘😘😘,this election tvk,Neutral,TVK
A0dYR_yCPmU,TVK  VIJAY SIR I LIKE TO LIKE VIJAY SIR ❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉 🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑❤️💛❤️👑🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷😻😻😻😻😻😻😻😻😻😻😻😻,tvk  vijay sir i like to like vijay sir,Positive,TVK
A0dYR_yCPmU,Please change number 300 for tvk please,please change number 300 for tvk please,Neutral,TVK
A0dYR_yCPmU,My vorte 🎉🎉🎉 for tvk❤❤❤❤❤,my vorte  for tvk,Neutral,TVK
A0dYR_yCPmU,Always TVK,always tvk,Neutral,TVK
A0dYR_yCPmU,Vote for TVk please 🥺🥺🥺,vote for tvk please,Neutral,TVK
